scenario,attachment_size_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,wall_clock_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,attachment_recall_passed,tracked_fact,error
pivot,0,1,1,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,119,0,2,0,0,1090,164,0.000262,3760,4785,none,default,True,True,,,Helios,
pivot,0,1,2,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,84,0,4,0,0,1380,164,0.000305,3256,5114,none,pm,True,True,False,,Helios,
pivot,0,1,3,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,67,0,6,0,0,1558,167,0.000334,2963,4327,none,developer,True,True,False,,Helios,
pivot,0,1,4,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,56,0,8,0,0,1750,167,0.000363,3122,4865,none,pm,True,True,False,,Helios,
pivot,0,1,5,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,158,0,10,0,0,1951,166,0.000392,4325,5385,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,68,0,12,0,0,2178,166,0.000426,4756,5966,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,63,0,12,3,381,2336,166,0.00045,5141,6611,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,68,0,12,4,728,2479,166,0.000471,3097,4677,none,developer,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,65,0,12,5,1058,2599,166,0.000489,3923,4827,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,63,0,12,6,1377,2687,166,0.000503,2856,4003,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,36,0,12,8,1798,2780,166,0.000517,3832,4877,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,90,0,12,9,2129,2881,167,0.000532,3947,5304,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,54,0,12,10,2455,2988,167,0.000548,2775,4678,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,67,0,12,11,2786,3072,167,0.000561,3181,4757,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,77,0,12,12,3114,3149,167,0.000573,3344,4844,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,47,0,12,13,3440,3224,167,0.000584,3670,4697,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,64,0,12,15,3739,3310,167,0.000597,3080,4722,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,66,0,12,16,4000,3387,167,0.000608,3028,4536,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,44,0,12,17,4000,3424,167,0.000614,4727,6159,none,pm,True,True,False,,Helios,
pivot,0,1,6,9c4cd0ff-f7c8-4fea-91ab-6b39aff1bab6,105,0,12,18,4000,3419,167,0.000613,2504,3997,none,pm,True,True,False,,Helios,
